               id                | displayName |          role           | city |        createdAt        |        updatedAt        | agents | sources | facts | projects | wikis | profiles 
---------------------------------+-------------+-------------------------+------+-------------------------+-------------------------+--------+---------+-------+----------+-------+----------
 demo-user-jun                   | 张明远      | AI产品负责人            | 上海 | 2026-04-25 11:15:57.64  | 2026-04-25 11:15:57.64  |      1 |       0 |     0 |        0 |     0 |        0
 demo-user-ai-engineer-lin       | 林晓玲      | AI算法工程师            | 北京 | 2026-04-25 11:15:59.674 | 2026-04-25 11:15:59.674 |      1 |       0 |     0 |        0 |     0 |        1
 demo-user-pm-chen-siyuan        | 陈思远      | AI产品经理              | 深圳 | 2026-04-25 11:16:03.403 | 2026-04-25 11:16:03.403 |      1 |       0 |     0 |        0 |     0 |        1
 demo-user-growth-wang-jingjing  | 王晶晶      | 增长运营专家            | 杭州 | 2026-04-25 11:16:05.225 | 2026-04-25 11:16:05.225 |      1 |       0 |     0 |        0 |     0 |        1
 demo-user-designer-li-zeyan     | 李泽言      | UI/UX设计师             | 上海 | 2026-04-25 11:16:07.651 | 2026-04-25 11:16:07.651 |      1 |       0 |     0 |        0 |     0 |        1
 demo-user-investor-gao-tianyang | 高天阳      | 科技投资人              | 北京 | 2026-04-25 11:16:09.613 | 2026-04-25 11:16:09.613 |      1 |       0 |     0 |        0 |     0 |        1
 demo-user-iot-zhao-yihang       | 赵一航      | 硬件/IoT工程师          | 深圳 | 2026-04-25 11:16:11.276 | 2026-04-25 11:16:11.276 |      1 |       0 |     0 |        0 |     0 |        1
 demo-user-creator-liu-yuyan     | 刘语嫣      | 内容创作者/AI科普博主   | 成都 | 2026-04-25 11:16:13.045 | 2026-04-25 11:16:13.045 |      1 |       0 |     0 |        0 |     0 |        1
 demo-user-global-business-wu    | 吴大伟      | 出海业务负责人          | 广州 | 2026-04-25 11:16:14.984 | 2026-04-25 11:16:14.984 |      1 |       0 |     0 |        0 |     0 |        1
 demo-user-enterprise-xu-jingya  | 徐静雅      | 企业客户/数字化转型专家 | 上海 | 2026-04-25 11:16:17.099 | 2026-04-25 11:16:17.099 |      1 |       0 |     0 |        0 |     0 |        1
 demo-user-community-zhou-ziheng | 周子衡      | 社区运营/DAO组织者      | 香港 | 2026-04-25 11:16:19.458 | 2026-04-25 11:16:19.458 |      1 |       0 |     0 |        0 |     0 |        1
 cmoe8y5ms0000jy042fgp44i8       | 小Lin说     |                         |      | 2026-04-25 11:19:03.173 | 2026-04-25 11:19:03.173 |      1 |       1 |     4 |        1 |     0 |        1
 cmoe90v1c000hjy04tzh67s3s       | 立党lidang  |                         |      | 2026-04-25 11:21:09.409 | 2026-04-25 11:21:09.409 |      1 |       1 |     7 |        6 |     0 |        1
 cmoe91aor000mjy04e8zbxj9r       | jun7        |                         |      | 2026-04-25 11:21:29.692 | 2026-04-25 11:21:29.692 |      1 |       1 |     0 |        0 |     0 |        0
 cmoe92tmy001jjy045h9ttx5y       | W           |                         |      | 2026-04-25 11:22:40.906 | 2026-04-25 11:22:40.906 |      1 |       1 |     3 |        0 |     0 |        1
 cmoe93xjs001wjy04uupa03gr       | jun7        |                         |      | 2026-04-25 11:23:32.632 | 2026-04-25 11:23:32.632 |      1 |       1 |     1 |        0 |     0 |        1
 cmoe9dzjy0027jy04iftzlr1l       | Lavine      |                         |      | 2026-04-25 11:31:21.791 | 2026-04-25 11:31:21.791 |      1 |       1 |    10 |        4 |     0 |        1
 cmoeap0rq0000if04jey0xgph       | Lavine2     |                         |      | 2026-04-25 12:07:56.198 | 2026-04-25 12:07:56.198 |      1 |       1 |     0 |        0 |     0 |        1
 cmoedowd30000ji04meq2h0u8       | linko       |                         |      | 2026-04-25 13:31:49.329 | 2026-04-25 13:31:49.329 |      1 |       1 |     0 |        0 |     0 |        0
 cmoeemhrd0000l20405yxh07k       | guojunqi    |                         |      | 2026-04-25 13:57:56.714 | 2026-04-25 13:57:56.714 |      1 |       3 |    27 |        4 |     0 |        3
 cmoeeraqt0000l204mklaix1j       | Lavine3     |                         |      | 2026-04-25 14:01:40.902 | 2026-04-25 14:01:40.902 |      1 |       1 |    13 |        4 |     0 |        1
 cmoeez0h50015l204plgfffa6       | 许人冰      |                         |      | 2026-04-25 14:07:40.841 | 2026-04-25 14:07:40.841 |      1 |       1 |    17 |        9 |     0 |        1
 cmoegjr8h0000ii04trn05hnn       | A先生       |                         |      | 2026-04-25 14:51:48.258 | 2026-04-25 14:51:48.258 |      1 |       3 |     1 |        0 |     0 |        3
 cmoeh8cke0000ib04j7ggorvv       | B先生       |                         |      | 2026-04-25 15:10:55.646 | 2026-04-25 15:10:55.646 |      1 |       1 |     1 |        0 |     0 |        1
(24 rows)

