id,userId,agentId,name,role,summary,techStackJson,linksJson,sourceDocumentIds,status,createdAt,updatedAt
cmoe8yazw000ejy0439c8s0v5,cmoe8y5ms0000jy042fgp44i8,cmoe8y5ni0002jy04s9y7chm8,小Lin说频道内容创作,创作者、运营者,将复杂的宏观经济、金融史和商业案例转化为通俗易懂的视听语言，代表作包括深度拆解日韩经济、美联储机制及著名商战系列，搭建专业金融知识与大众认知之间的桥梁,[],[],"[""cmoe8y5ov0004jy04dx3d7uck""]",confirmed,2026-04-25 11:19:10.124,2026-04-25 11:19:10.124
cmoe91onu0016jy04raz5201i,cmoe90v1c000hjy04tzh67s3s,cmoe90v1w000jjy04u4sdoye7,goal-driven,Creator,多智能体系统项目，可支持多智能体持续运行约100小时解决可验证的复杂编程或数学问题，目标是实现多智能体系统持续300小时以上运行解决有明确定义标准的极复杂问题，适用于编译器设计、数学定理证明、计算问题、数据库架构、复杂系统级设计、EDA仿真挑战等场景，核心概念包含目标（Goal）、标准（Criteria）、子智能体（Subagent）、主智能体（Master Agent）,"[""Multi-agent System""]","[""https://github.com/lidangzzz/goal-driven""]","[""cmoe90vcf000ljy048ur82b3r""]",confirmed,2026-04-25 11:21:47.802,2026-04-25 11:21:47.802
cmoe91onu0018jy04bu3u1acu,cmoe90v1c000hjy04tzh67s3s,cmoe90v1w000jjy04u4sdoye7,How-to-run,Creator,立党零基础转码笔记，主要语言为 TypeScript，包含零基础转码相关的课程推荐，涵盖 Python、数据结构与算法、前端（Reactjs）等方向，Github Page 只读版为 https://lidangzzz.github.io/How-to-run/，Topics 包含 computer-science、python,"[""TypeScript"",""Python"",""Reactjs"",""Computer Science""]","[""https://github.com/lidangzzz/How-to-run"",""https://lidangzzz.github.io/How-to-run/""]","[""cmoe90vcf000ljy048ur82b3r""]",confirmed,2026-04-25 11:21:47.802,2026-04-25 11:21:47.802
cmoe91onu001ajy04vngepsff,cmoe90v1c000hjy04tzh67s3s,cmoe90v1w000jjy04u4sdoye7,Best-Practice-for-Building-A-Startup-in-Delaware-with-Tech-Tools,Creator,美国华人技术创业的快速公司/银行/税务/投资操作白皮书，分享在 Delaware 注册 C-Corp 美国创业公司的完整流程和步骤，覆盖注册、银行、税务、公司章程、股份、雇佣、记账等全流程，帮助降低美国创业的法务和流程门槛，减少时间和金钱成本，助力公司投入运营并获得种子轮投资,[],"[""https://github.com/lidangzzz/Best-Practice-for-Building-A-Startup-in-Delaware-with-Tech-Tools""]","[""cmoe90vcf000ljy048ur82b3r""]",confirmed,2026-04-25 11:21:47.802,2026-04-25 11:21:47.802
cmoe91onu001cjy04ejkt4548,cmoe90v1c000hjy04tzh67s3s,cmoe90v1w000jjy04u4sdoye7,BettaFish,Creator,微舆：人人可用的多Agent舆情分析助手，打破信息茧房，还原舆情原貌，预测未来走向，辅助决策，从0实现，不依赖任何框架,"[""Multi-agent System""]","[""https://github.com/lidangzzz/BettaFish""]","[""cmoe90vcf000ljy048ur82b3r""]",confirmed,2026-04-25 11:21:47.802,2026-04-25 11:21:47.802
cmoef1d45002fl204jfdran39,cmoeez0h50015l204plgfffa6,cmoeez0ht0017l2043tq52chv,医盟信科互联网医院与医药电商项目,分管运营&人资负责人,主导战略规划、融资和产业合作、股权设计与激励，完成2轮融资，跑通业务模式并营收破亿,[],[],"[""cmoeez0j20019l204iz8iz5hu""]",confirmed,2026-04-25 14:09:30.533,2026-04-25 14:09:30.533
cmoe91onu001ejy047ze6y2aq,cmoe90v1c000hjy04tzh67s3s,cmoe90v1w000jjy04u4sdoye7,Lean4-ts,Creator,Lean4 的 TypeScript 实现，提供词法分析、解析、求值能力，支持 Lean4 语言的大部分子集，包含依赖类型、模式匹配、高阶函数等特性，支持的定义类型有 def、theorem、axiom、constant，支持的类型有 Type、Sort、Prop、依赖类型（Pi 类型、Sigma 类型），支持函数、控制流、数据结构、类型类等,"[""TypeScript"",""Lean4"",""Compiler"",""Interpreter""]","[""https://github.com/lidangzzz/Lean4-ts""]","[""cmoe90vcf000ljy048ur82b3r""]",confirmed,2026-04-25 11:21:47.802,2026-04-25 11:21:47.802
cmoe91onu001gjy04zhpnde22,cmoe90v1c000hjy04tzh67s3s,cmoe90v1w000jjy04u4sdoye7,how-to-run-Q-and-A,Creator,立党润学笔记问答，涵盖美国工作签证（H1b、L1等）申请条件、流程、中签率、绿卡排期等相关问题解答，包含不同身份申请美国工作的差异、硅谷大厂 L1 签证移民路径等内容,[],"[""https://github.com/lidangzzz/how-to-run-Q-and-A""]","[""cmoe90vcf000ljy048ur82b3r""]",confirmed,2026-04-25 11:21:47.802,2026-04-25 11:21:47.802
cmoe9eee6002xjy04jfxiib56,cmoe9dzjy0027jy04iftzlr1l,cmoe9dzkt0029jy04yetfy8p6,PandaAl 量化因子大赛参赛项目,参赛选手,参与PandaAl量化因子大赛，利用Python进行大规模数据清洗与模型优化，最终获得全国亚军（排名前1%），实现模型收益率超50%,"[""Python""]",[],"[""cmoe9dzm4002bjy04ss8q87bn""]",confirmed,2026-04-25 11:31:41.023,2026-04-25 11:31:41.023
cmoe9eee6002zjy04d7ikg54q,cmoe9dzjy0027jy04iftzlr1l,cmoe9dzkt0029jy04yetfy8p6,抖音运营优化项目,抖音创作者,建立竞品数据追踪模型优化推流策略，单条视频最高获赞超2.1万次,"[""Python"",""数据建模""]",[],"[""cmoe9dzm4002bjy04ss8q87bn""]",confirmed,2026-04-25 11:31:41.023,2026-04-25 11:31:41.023
cmoe9eee60031jy042c6dbaxv,cmoe9dzjy0027jy04iftzlr1l,cmoe9dzkt0029jy04yetfy8p6,UPDF国际化品牌传播项目,SEO实习生,负责UPDF国际化品牌的传播闭环相关工作，发挥跨文化沟通与商务撮合能力,"[""SEO"",""品牌传播""]",[],"[""cmoe9dzm4002bjy04ss8q87bn""]",confirmed,2026-04-25 11:31:41.023,2026-04-25 11:31:41.023
cmoe9eee60033jy04oujs7u58,cmoe9dzjy0027jy04iftzlr1l,cmoe9dzkt0029jy04yetfy8p6,海德学院篮球队数字化战术管理项目,篮球队队长,通过数字化战术储备领导海德学院篮球队达成团队目标,"[""数字化战术分析""]",[],"[""cmoe9dzm4002bjy04ss8q87bn""]",confirmed,2026-04-25 11:31:41.023,2026-04-25 11:31:41.023
cmoeen86x000ul204ardu8d3w,cmoeemhrd0000l20405yxh07k,cmoeemhrv0002l204nyfupqgf,抖音自媒体账号运营,自媒体创作者,运营抖音自媒体账号，通过建立同类竞品数据追踪模型优化选题与推流策略，沉淀基于数据反馈的受众洞察方法论，应用平台流量算法精准触达目标用户，实现单条视频浏览量突破40000次、点赞超21000次，提升账号品牌传播力与用户互动率,"[""数据追踪模型"",""平台流量算法"",""受众洞察方法论""]",[],"[""cmoeemhtd0004l20472dgpe9x""]",confirmed,2026-04-25 13:58:30.97,2026-04-25 13:58:30.97
cmoeen86x000wl204w3jigtiu,cmoeemhrd0000l20405yxh07k,cmoeemhrv0002l204nyfupqgf,PandaAI量化因子大赛参赛项目,亚军选手,参加高强度金融技术竞赛PandaAI量化因子大赛，运用Python建模能力进行大规模数据清洗与量化因子挖掘，构建的比赛模型收益率超50%，IC、IR指数排在前十，最终获得全国亚军，在数千名参赛选手中排名前1%,"[""Python"",""数据清洗"",""量化因子挖掘"",""建模""]",[],"[""cmoeemhtd0004l20472dgpe9x""]",confirmed,2026-04-25 13:58:30.97,2026-04-25 13:58:30.97
cmoeen86y000yl20401uzqad4,cmoeemhrd0000l20405yxh07k,cmoeemhrv0002l204nyfupqgf,海德学院篮球队赛季运营,队长,担任海德学院篮球队队长期间，优化团队战略协作，为对手建立能力画像并制定数字化战术储备，领导18人规模团队完成赛季博弈，达成赛事预期目标,"[""能力画像"",""数字化战术储备"",""团队统筹""]",[],"[""cmoeemhtd0004l20472dgpe9x""]",confirmed,2026-04-25 13:58:30.97,2026-04-25 13:58:30.97
cmoeen86y0010l204s9paredb,cmoeemhrd0000l20405yxh07k,cmoeemhrv0002l204nyfupqgf,UPDF国际化品牌传播项目,内容运营与SEO实习生,执行SEO策略与内容矩阵策划，优化核心关键词搜索排名，提升国际化品牌在搜索引擎的曝光维度，协同推动国际化项目的传播闭环,"[""SEO策略"",""内容矩阵策划"",""搜索引擎优化""]",[],"[""cmoeemhtd0004l20472dgpe9x""]",confirmed,2026-04-25 13:58:30.97,2026-04-25 13:58:30.97
cmoeerzra000wl2045nt1r989,cmoeeraqt0000l204mklaix1j,cmoeerark0002l204aq5242ws,抖音自媒体账号运营,创作者,运营抖音自媒体账号，通过建立同类竞品数据追踪模型优化选题与推流策略，沉淀基于数据反馈的受众洞察方法论，应用平台流量算法精准触达目标用户，实现单条视频浏览量突破40000次、点赞超21000次，提升账号品牌传播力与用户互动率,"[""数据追踪模型"",""平台流量算法"",""受众洞察方法论""]",[],"[""cmoeerasq0004l204e2vd3gb0""]",confirmed,2026-04-25 14:02:13.318,2026-04-25 14:02:13.318
